Date,TSLA,AAPL,AMZN,GOOGL,NFLX
8/19/2016,45,27.34,757.309998,799.650024,95.870003
8/22/2016,44.585999,27.127501,759.47998,796.950012,95.260002
8/23/2016,44.967999,27.2125,762.450012,796.590027,95.940002
8/24/2016,44.523998,27.0075,757.25,793.599976,95.18
8/25/2016,44.192001,26.8925,759.219971,791.299988,97.32
8/26/2016,43.998001,26.735001,769,793.219971,97.580002
8/29/2016,43.040001,26.705,771.289978,795.820007,97.300003
8/30/2016,42.268002,26.5,767.580017,791.919983,97.449997
8/31/2016,42.402,26.525,769.159973,789.849976,97.449997
9/1/2016,40.153999,26.682501,770.619995,791.400024,97.379997
9/2/2016,39.556,26.932501,772.440002,796.869995,97.379997
9/6/2016,40.566002,26.924999,788.869995,808.02002,100.089996
9/7/2016,40.341999,27.09,784.47998,807.98999,99.150002
9/8/2016,39.472,26.379999,784.059998,802.840027,99.660004
9/9/2016,38.894001,25.782499,760.140015,788.47998,96.5
9/12/2016,39.66,26.360001,771.48999,798.820007,99.050003
9/13/2016,39.209999,26.987499,761.01001,788.719971,96.089996
9/14/2016,39.282001,27.942499,761.090027,790.460022,97.010002
9/15/2016,40.084,28.8925,769.690002,801.22998,97.339996
9/16/2016,41.080002,28.73,778.52002,797.969971,99.480003
9/19/2016,41.268002,28.395,775.099976,795.390015,98.059998
9/20/2016,40.928001,28.3925,780.219971,799.780029,98.25
9/21/2016,41.043999,28.387501,789.73999,805.030029,94.879997
9/22/2016,41.285999,28.655001,804.700012,815.950012,95.830002
9/23/2016,41.490002,28.1775,805.75,814.960022,95.940002
9/26/2016,41.798,28.219999,799.159973,802.650024,94.559998
9/27/2016,41.161999,28.272499,816.109985,810.72998,97.07
9/28/2016,41.254002,28.487499,828.719971,810.059998,97.480003
9/29/2016,40.139999,28.045,829.049988,802.640015,96.669998
9/30/2016,40.806,28.262501,837.309998,804.059998,98.550003
10/3/2016,42.740002,28.129999,836.73999,800.380005,102.629997
10/4/2016,42.282001,28.25,834.030029,802.789978,102.339996
10/5/2016,41.692001,28.262501,844.359985,801.22998,106.279999
10/6/2016,40.200001,28.4725,841.659973,803.080017,105.07
10/7/2016,39.321999,28.514999,839.429993,800.710022,104.82
10/10/2016,40.189999,29.012501,841.710022,814.169983,103.330002
10/11/2016,40.02,29.075001,831,809.570007,100.589996
10/12/2016,40.301998,29.334999,834.090027,811.77002,99.5
10/13/2016,40.048,29.245001,829.280029,804.080017,100.230003
10/14/2016,39.301998,29.407499,822.960022,804.599976,101.470001
10/17/2016,38.792,29.387501,812.950012,806.840027,99.800003
10/18/2016,39.82,29.3675,817.650024,821.48999,118.790001
10/19/2016,40.712002,29.280001,817.690002,826.840027,121.870003
10/20/2016,39.82,29.264999,810.320007,821.630005,123.349998
10/21/2016,40.018002,29.15,818.98999,824.059998,127.5
10/24/2016,40.551998,29.4125,838.090027,835.73999,127.330002
10/25/2016,40.467999,29.5625,835.179993,828.549988,126.510002
10/26/2016,40.448002,28.897499,822.590027,822.099976,126.970001
10/27/2016,40.801998,28.620001,818.359985,817.349976,126.470001
10/28/2016,39.993999,28.43,776.320007,819.559998,126.57
10/31/2016,39.546001,28.385,789.820007,809.900024,124.870003
11/1/2016,38.158001,27.872499,785.409973,805.47998,123.300003
11/2/2016,37.604,27.897499,765.559998,788.419983,122.339996
11/3/2016,37.484001,27.4575,767.030029,782.190002,122.139999
11/4/2016,38.112,27.209999,755.049988,781.099976,122.029999
11/7/2016,38.641998,27.602501,784.929993,802.030029,124.580002
11/8/2016,38.987999,27.764999,787.75,811.97998,124.339996
11/9/2016,38.012001,27.719999,771.880005,805.590027,122.190002
11/10/2016,37.07,26.9475,742.380005,780.289978,115.419998
11/11/2016,37.712002,27.1075,739.01001,771.75,114.779999
11/14/2016,36.290001,26.4275,719.070007,753.219971,113.379997
11/15/2016,36.754002,26.7775,743.23999,775.159973,113.589996
11/16/2016,36.785999,27.497499,746.48999,779.97998,115.190002
11/17/2016,37.731998,27.487499,756.400024,786.159973,115.029999
11/18/2016,37.004002,27.514999,760.159973,775.969971,115.209999
11/21/2016,36.903999,27.932501,780,784.799988,117.959999
11/22/2016,38.234001,27.950001,785.330017,785,118.040001
11/23/2016,38.627998,27.807501,780.119995,779,117.690002
11/25/2016,39.330002,27.9475,780.369995,780.22998,117.410004
11/28/2016,39.223999,27.8925,766.77002,785.789978,116.93
11/29/2016,37.914001,27.865,762.52002,789.440002,117.510002
11/30/2016,37.880001,27.629999,750.570007,775.880005,117
12/1/2016,36.375999,27.372499,743.650024,764.330017,117.220001
12/2/2016,36.293999,27.475,740.340027,764.460022,120.809998
12/5/2016,37.360001,27.2775,759.359985,778.219971,119.160004
12/6/2016,37.169998,27.487499,764.719971,776.179993,124.57
12/7/2016,38.630001,27.7575,770.419983,791.469971,125.389999
12/8/2016,38.458,28.030001,767.330017,795.169983,123.239998
12/9/2016,38.436001,28.487499,768.659973,809.450012,122.879997
12/12/2016,38.486,28.325001,760.119995,807.900024,122.830002
12/13/2016,39.630001,28.797501,774.340027,815.340027,123.779999
12/14/2016,39.737999,28.797501,768.820007,817.890015,123.440002
12/15/2016,39.515999,28.955,761,815.650024,125
12/16/2016,40.498001,28.9925,757.77002,809.840027,124.220001
12/19/2016,40.546001,29.16,766,812.5,125.449997
12/20/2016,41.757999,29.237499,771.219971,815.200012,125.120003
12/21/2016,41.540001,29.264999,770.599976,812.200012,126.5
12/22/2016,41.689999,29.0725,766.340027,809.679993,125.580002
12/23/2016,42.667999,29.129999,760.590027,807.799988,125.589996
12/27/2016,43.905998,29.315001,771.400024,809.929993,128.350006
12/28/2016,43.948002,29.190001,772.130005,804.570007,125.889999
12/29/2016,42.936001,29.182501,765.150024,802.880005,125.330002
12/30/2016,42.737999,28.955,749.869995,792.450012,123.800003
1/3/2017,43.397999,29.0375,753.669983,808.01001,127.489998
1/4/2017,45.397999,29.004999,757.179993,807.77002,129.410004
1/5/2017,45.349998,29.1525,780.450012,813.02002,131.809998
1/6/2017,45.801998,29.477501,795.98999,825.210022,131.070007
1/9/2017,46.256001,29.747499,796.919983,827.179993,130.949997
1/10/2017,45.973999,29.7775,795.900024,826.01001,129.889999
1/11/2017,45.945999,29.9375,799.02002,829.859985,130.5
1/12/2017,45.917999,29.8125,813.640015,829.530029,129.179993
1/13/2017,47.549999,29.76,817.140015,830.940002,133.699997
1/17/2017,47.116001,30,809.719971,827.460022,132.889999
1/18/2017,47.672001,29.997499,807.47998,829.02002,133.259995
1/19/2017,48.751999,29.945,809.039978,824.369995,138.410004
1/20/2017,48.945999,30,808.330017,828.169983,138.600006
1/23/2017,49.784,30.02,817.880005,844.429993,137.389999
1/24/2017,50.922001,29.9925,822.440002,849.530029,140.110001
1/25/2017,50.894001,30.469999,836.52002,858.450012,139.520004
1/26/2017,50.501999,30.485001,839.150024,856.97998,138.960007
1/27/2017,50.59,30.487499,835.77002,845.030029,142.449997
1/30/2017,50.125999,30.407499,830.380005,823.830017,141.220001
1/31/2017,50.386002,30.3375,823.47998,820.190002,140.710007
2/1/2017,49.848,32.1875,832.349976,815.23999,140.779999
2/2/2017,50.310001,32.1325,839.950012,818.26001,139.199997
2/3/2017,50.265999,32.27,810.200012,820.130005,140.25
2/6/2017,51.554001,32.572498,807.640015,821.619995,140.970001
2/7/2017,51.495998,32.8825,812.5,829.22998,144
2/8/2017,52.416,33.009998,819.710022,829.880005,144.740005
2/9/2017,53.84,33.105,821.359985,830.059998,144.139999
2/10/2017,53.846001,33.029999,827.460022,834.849976,144.820007
2/13/2017,56.119999,33.322498,836.530029,838.960022,143.199997
2/14/2017,56.195999,33.755001,836.390015,840.030029,140.820007
2/15/2017,55.952,33.877499,842.700012,837.320007,142.270004
2/16/2017,53.790001,33.837502,844.140015,842.169983,142.009995
2/17/2017,54.445999,33.93,845.070007,846.549988,142.220001
2/21/2017,55.478001,34.174999,856.440002,849.27002,142.600006
2/22/2017,54.702,34.2775,855.609985,851.359985,143.860001
2/23/2017,51.198002,34.1325,852.190002,851,142.779999
2/24/2017,51.400002,34.165001,845.23999,847.809998,143.25
2/27/2017,49.245998,34.232498,848.640015,849.669983,143.410004
2/28/2017,49.998001,34.247501,845.039978,844.929993,142.130005
3/1/2017,50.004002,34.947498,853.080017,856.75,142.649994
3/2/2017,50.096001,34.740002,848.909973,849.849976,139.529999
3/3/2017,50.313999,34.945,849.880005,849.080017,139.139999
3/6/2017,50.242001,34.834999,846.609985,847.27002,141.940002
3/7/2017,49.717999,34.880001,846.02002,851.150024,141.429993
3/8/2017,49.374001,34.75,850.5,853.640015,140.320007
3/9/2017,48.98,34.669998,853,857.840027,140.529999
3/10/2017,48.737999,34.785,852.460022,861.409973,140.889999
3/13/2017,49.234001,34.799999,854.590027,864.580017,143.520004
